City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,vaini,TO,-21.2,-175.2,84.36,74,20,8.05,
193,butaritari,KI,3.0707,172.7902,80.47,81,98,13.09,
194,cervo,ES,43.6702,-7.4101,52.09,78,100,4.45,
195,saint-philippe,RE,-21.3585,55.7679,76.59,85,57,12.15,
196,atuona,PF,-9.8,-139.0333,79.47,72,6,19.15,
197,severo-kurilsk,RU,50.6789,156.125,31.23,75,100,7.38,
198,kloulklubed,PW,7.0419,134.2556,82.9,79,100,19.55,
199,pevek,RU,69.7008,170.3133,-8.1,85,14,3.49,
200,labuhan,ID,-6.8844,112.2051,82.26,76,66,6.49,
201,airai,TL,-8.9266,125.4092,74.28,40,100,3.15,
202,mahebourg,MU,-20.4081,57.7,75.49,94,75,11.5,
203,chicama,PE,-7.8447,-79.1469,64.94,77,100,5.86,
204,port elizabeth,ZA,-33.918,25.5701,66.09,95,40,12.66,
205,ushuaia,AR,-54.8,-68.3,47.86,71,75,16.11,
206,albany,US,42.6001,-73.9662,40.93,89,14,5.95,
207,kapoeta,SS,4.7717,33.5903,83.43,38,86,15.86,
208,fortuna,US,40.5982,-124.1573,50.67,70,0,24.16,
209,kirakira,SB,-10.4544,161.9205,84.7,70,91,8.19,
210,sembe,CG,1.6481,14.5806,70.99,97,100,1.88,
211,tazovskiy,RU,67.4667,78.7,-12.26,99,88,5.1,
212,port alfred,ZA,-33.5906,26.891,63.18,96,100,7.0,
213,yulara,AU,-25.2406,130.9889,84.04,17,0,9.22,
214,port hawkesbury,CA,45.6169,-61.3485,44.19,96,100,4.61,
215,kitui,KE,-1.367,38.0106,62.04,97,65,3.67,
216,new norfolk,AU,-42.7826,147.0587,78.3,38,99,5.01,
217,upernavik,GL,72.7868,-56.1549,-7.71,99,28,3.6,
218,dikson,RU,73.5069,80.5464,8.65,96,97,6.55,
219,makakilo city,US,21.3469,-158.0858,76.69,70,94,13.78,
220,arraial do cabo,BR,-22.9661,-42.0278,75.97,90,97,9.1,
221,traverse city,US,44.7631,-85.6206,34.84,89,72,1.01,
222,mitu,CO,1.1983,-70.1733,72.82,97,100,1.72,
223,tasiilaq,GL,65.6145,-37.6368,15.98,94,95,3.83,
224,oistins,BB,13.0667,-59.5333,78.89,73,75,20.71,
225,rikitea,PF,-23.1203,-134.9692,78.84,73,7,17.52,
226,qaanaaq,GL,77.484,-69.3632,-2.27,87,100,5.41,
227,fairbanks,US,64.8378,-147.7164,20.3,40,0,5.75,
228,sitka,US,57.0531,-135.33,39.79,73,69,6.04,
229,zvishavane,ZW,-20.3267,30.0665,59.81,97,100,7.47,
230,kruisfontein,ZA,-34.0033,24.7314,63.88,92,65,9.51,
231,tiksi,RU,71.6872,128.8694,-7.31,94,70,7.16,
232,punta arenas,CL,-53.15,-70.9167,46.51,87,75,16.11,
233,busselton,AU,-33.65,115.3333,64.26,73,76,15.46,
234,lorengau,PG,-2.0226,147.2712,84.83,72,80,9.31,
235,lebu,CL,-37.6167,-73.65,50.22,82,21,3.2,
236,manaus,BR,-3.1019,-60.025,77.49,88,0,3.44,
